ID,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
28,Biscoe,40.5,17.9,187.0,3200.0,female,2007
296,Dream,49.2,18.2,195.0,4400.0,male,2007
306,Dream,52.8,20.0,205.0,4550.0,male,2008
63,Biscoe,37.6,17.0,185.0,3600.0,female,2008
183,Biscoe,47.3,15.3,222.0,5250.0,male,2007
16,Torgersen,36.6,17.8,185.0,3700.0,female,2007
234,Biscoe,52.5,15.6,221.0,5450.0,male,2009
236,Biscoe,50.0,15.9,224.0,5350.0,male,2009
88,Dream,36.9,18.6,189.0,3500.0,female,2008
160,Biscoe,46.7,15.3,219.0,5200.0,male,2007
45,Dream,37.0,16.9,185.0,3000.0,female,2007
322,Dream,50.8,18.5,201.0,4450.0,male,2009
111,Biscoe,38.1,16.5,198.0,3825.0,female,2009
162,Biscoe,46.8,15.4,215.0,5150.0,male,2007
201,Biscoe,44.9,13.3,213.0,5100.0,female,2008
165,Biscoe,45.5,13.7,214.0,4650.0,female,2007
131,Torgersen,38.5,17.9,190.0,3325.0,female,2009
237,Biscoe,44.9,13.8,212.0,4750.0,female,2009
73,Torgersen,39.6,17.2,196.0,3550.0,female,2008
218,Biscoe,49.8,16.8,230.0,5700.0,male,2008
24,Biscoe,38.2,18.1,185.0,3950.0,male,2007
204,Biscoe,48.5,14.1,220.0,5300.0,male,2008
279,Dream,51.3,19.2,193.0,3650.0,male,2007
146,Dream,39.0,18.7,185.0,3650.0,male,2009
25,Biscoe,38.8,17.2,180.0,3800.0,male,2007
340,Dream,55.8,19.8,207.0,4000.0,male,2009
99,Dream,33.1,16.1,178.0,2900.0,female,2008
86,Dream,41.3,20.3,194.0,3550.0,male,2008
76,Torgersen,42.8,18.5,195.0,4250.0,male,2008
216,Biscoe,54.3,15.7,231.0,5650.0,male,2008
103,Biscoe,37.7,16.0,183.0,3075.0,female,2009
104,Biscoe,37.8,20.0,190.0,4250.0,male,2009
206,Biscoe,50.1,15.0,225.0,5000.0,male,2008
75,Torgersen,35.5,17.5,190.0,3700.0,female,2008
29,Biscoe,37.9,18.6,172.0,3150.0,female,2007
43,Dream,36.0,18.5,186.0,3100.0,female,2007
255,Biscoe,47.2,15.5,215.0,4975.0,female,2009
74,Torgersen,45.8,18.9,197.0,4150.0,male,2008
278,Dream,50.0,19.5,196.0,3900.0,male,2007
151,Dream,36.0,17.1,187.0,3700.0,female,2009
132,Torgersen,43.1,19.2,197.0,3500.0,male,2009
230,Biscoe,51.1,16.3,220.0,6000.0,male,2008
93,Dream,34.0,17.1,185.0,3400.0,female,2008
294,Dream,58.0,17.8,181.0,3700.0,female,2007
159,Biscoe,45.4,14.6,211.0,4800.0,female,2007
295,Dream,46.4,18.6,190.0,3450.0,female,2007
155,Biscoe,48.7,14.1,210.0,4450.0,female,2007
303,Dream,50.5,18.4,200.0,3400.0,female,2008
248,Biscoe,50.8,15.7,226.0,5200.0,male,2009
231,Biscoe,45.2,13.8,215.0,4750.0,female,2008
164,Biscoe,49.0,16.1,216.0,5550.0,male,2007
228,Biscoe,48.6,16.0,230.0,5800.0,male,2008
136,Dream,41.1,17.5,190.0,3900.0,male,2009
44,Dream,44.1,19.7,196.0,4400.0,male,2007
246,Biscoe,49.5,16.1,224.0,5650.0,male,2009
211,Biscoe,43.2,14.5,208.0,4450.0,female,2008
172,Biscoe,48.7,15.1,222.0,5350.0,male,2007
119,Torgersen,35.7,17.0,189.0,3350.0,female,2009
210,Biscoe,45.5,15.0,220.0,5000.0,male,2008
202,Biscoe,45.2,15.8,215.0,5300.0,male,2008
124,Torgersen,41.4,18.5,202.0,3875.0,male,2009
330,Dream,50.7,19.7,203.0,4050.0,male,2009
333,Dream,45.2,16.6,191.0,3250.0,female,2009
314,Dream,52.0,20.7,210.0,4800.0,male,2008
171,Biscoe,46.2,14.5,209.0,4800.0,female,2007
232,Biscoe,45.2,16.4,223.0,5950.0,male,2008
235,Biscoe,47.4,14.6,212.0,4725.0,female,2009
161,Biscoe,43.3,13.4,209.0,4400.0,female,2007
240,Biscoe,51.3,14.2,218.0,5300.0,male,2009
3,Torgersen,40.3,18.0,195.0,3250.0,female,2007
122,Torgersen,37.7,19.8,198.0,3500.0,male,2009
181,Biscoe,48.2,14.3,210.0,4600.0,female,2007
284,Dream,51.3,18.2,197.0,3750.0,male,2007
127,Torgersen,38.8,17.6,191.0,3275.0,female,2009
329,Dream,45.7,17.3,193.0,3600.0,female,2009
301,Dream,46.7,17.9,195.0,3300.0,female,2007
134,Dream,37.5,18.5,199.0,4475.0,male,2009
81,Torgersen,34.6,17.2,189.0,3200.0,female,2008
35,Dream,36.4,17.0,195.0,3325.0,female,2007
90,Dream,38.9,18.8,190.0,3600.0,female,2008
289,Dream,47.0,17.3,185.0,3700.0,female,2007
114,Biscoe,42.2,19.5,197.0,4275.0,male,2009
191,Biscoe,44.0,13.6,208.0,4350.0,female,2008
291,Dream,45.9,17.1,190.0,3575.0,female,2007
140,Dream,39.7,17.9,193.0,4250.0,male,2009
192,Biscoe,48.7,15.7,208.0,5350.0,male,2008
241,Biscoe,47.5,14.0,212.0,4875.0,female,2009
51,Biscoe,39.6,17.7,186.0,3500.0,female,2008
319,Dream,50.9,19.1,196.0,3550.0,male,2008
72,Torgersen,39.7,18.4,190.0,3900.0,male,2008
304,Dream,49.5,19.0,200.0,3800.0,male,2008
92,Dream,41.1,18.1,205.0,4300.0,male,2008
194,Biscoe,49.6,16.0,225.0,5700.0,male,2008
77,Torgersen,40.9,16.8,191.0,3700.0,female,2008
166,Biscoe,48.4,14.6,213.0,5850.0,male,2007
18,Torgersen,42.5,20.7,197.0,4500.0,male,2007
41,Dream,36.5,18.0,182.0,3150.0,female,2007
34,Dream,40.9,18.9,184.0,3900.0,male,2007
177,Biscoe,42.9,13.1,215.0,5000.0,female,2007
149,Dream,36.0,17.8,195.0,3450.0,female,2009
253,Biscoe,48.5,15.0,219.0,4850.0,female,2009
138,Dream,40.2,20.1,200.0,3975.0,male,2009
280,Dream,45.4,18.7,188.0,3525.0,female,2007
58,Biscoe,40.6,18.8,193.0,3800.0,male,2008
102,Biscoe,41.0,20.0,203.0,4725.0,male,2009
264,Biscoe,49.8,15.9,229.0,5950.0,male,2009
186,Biscoe,59.6,17.0,230.0,6050.0,male,2007
212,Biscoe,50.4,15.3,224.0,5550.0,male,2008
130,Torgersen,44.1,18.0,210.0,4000.0,male,2009
47,Dream,41.1,19.0,182.0,3425.0,male,2007
96,Dream,40.8,18.9,208.0,4300.0,male,2008
271,Biscoe,47.2,13.7,214.0,4925.0,female,2009
214,Biscoe,46.2,14.9,221.0,5300.0,male,2008
143,Dream,32.1,15.5,188.0,3050.0,female,2009
32,Dream,37.2,18.1,178.0,3900.0,male,2007
338,Dream,46.8,16.5,189.0,3650.0,female,2009
148,Dream,36.6,18.4,184.0,3475.0,female,2009
254,Biscoe,55.9,17.0,228.0,5600.0,male,2009
1,Torgersen,39.1,18.7,181.0,3750.0,male,2007
311,Dream,49.7,18.6,195.0,3600.0,male,2008
298,Dream,48.5,17.5,191.0,3400.0,male,2007
315,Dream,46.9,16.6,192.0,2700.0,female,2008
107,Biscoe,38.6,17.2,199.0,3750.0,female,2009
200,Biscoe,50.5,15.9,225.0,5400.0,male,2008
299,Dream,43.2,16.6,187.0,2900.0,female,2007
227,Biscoe,46.4,15.0,216.0,4700.0,female,2008
222,Biscoe,50.7,15.0,223.0,5550.0,male,2008
110,Biscoe,43.2,19.0,197.0,4775.0,male,2009
178,Biscoe,46.1,15.1,215.0,5100.0,male,2007
105,Biscoe,37.9,18.6,193.0,2925.0,female,2009
42,Dream,40.8,18.4,195.0,3900.0,male,2007
265,Biscoe,43.5,15.2,213.0,4650.0,female,2009
68,Biscoe,41.1,19.1,188.0,4100.0,male,2008
157,Biscoe,47.6,14.5,215.0,5400.0,male,2007
54,Biscoe,42.0,19.5,200.0,4050.0,male,2008
256,Biscoe,49.1,15.0,228.0,5500.0,male,2009
326,Dream,49.8,17.3,198.0,3675.0,female,2009
17,Torgersen,38.7,19.0,195.0,3450.0,female,2007
341,Dream,43.5,18.1,202.0,3400.0,female,2009
208,Biscoe,45.0,15.4,220.0,5050.0,male,2008
310,Dream,51.0,18.8,203.0,4100.0,male,2008
33,Dream,39.5,17.8,188.0,3300.0,female,2007
274,Biscoe,50.4,15.7,222.0,5750.0,male,2009
239,Biscoe,43.4,14.4,218.0,4600.0,female,2009
242,Biscoe,52.1,17.0,230.0,5550.0,male,2009
6,Torgersen,39.3,20.6,190.0,3650.0,male,2007
129,Torgersen,39.0,17.1,191.0,3050.0,female,2009
38,Dream,42.2,18.5,180.0,3550.0,female,2007
259,Biscoe,41.7,14.7,210.0,4700.0,female,2009
169,Biscoe,42.0,13.5,210.0,4150.0,female,2007
266,Biscoe,51.5,16.3,230.0,5500.0,male,2009
297,Dream,42.4,17.3,181.0,3600.0,female,2007
251,Biscoe,48.4,14.4,203.0,4625.0,female,2009
145,Dream,37.3,16.8,192.0,3000.0,female,2009
69,Torgersen,35.9,16.6,190.0,3050.0,female,2008
224,Biscoe,46.4,15.6,221.0,5000.0,male,2008
142,Dream,40.6,17.2,187.0,3475.0,male,2009
135,Dream,38.1,17.6,187.0,3425.0,female,2009
14,Torgersen,38.6,21.2,191.0,3800.0,male,2007
71,Torgersen,33.5,19.0,190.0,3600.0,female,2008
20,Torgersen,46.0,21.5,194.0,4200.0,male,2007
163,Biscoe,40.9,13.7,214.0,4650.0,female,2007
46,Dream,39.6,18.8,190.0,4600.0,male,2007
318,Dream,46.2,17.5,187.0,3650.0,female,2008
283,Dream,46.1,18.2,178.0,3250.0,female,2007
225,Biscoe,48.2,15.6,221.0,5100.0,male,2008
302,Dream,52.0,19.0,197.0,4150.0,male,2007
245,Biscoe,45.5,14.5,212.0,4750.0,female,2009
215,Biscoe,45.7,13.9,214.0,4400.0,female,2008
221,Biscoe,43.5,14.2,220.0,4700.0,female,2008
316,Dream,53.5,19.9,205.0,4500.0,male,2008
261,Biscoe,43.3,14.0,208.0,4575.0,female,2009
336,Dream,45.6,19.4,194.0,3525.0,female,2009
317,Dream,49.0,19.5,210.0,3950.0,male,2008
281,Dream,52.7,19.8,197.0,3725.0,male,2007
209,Biscoe,43.8,13.9,208.0,4300.0,female,2008
168,Biscoe,49.3,15.7,217.0,5850.0,male,2007
50,Dream,42.3,21.2,191.0,4150.0,male,2007
226,Biscoe,46.5,14.8,217.0,5200.0,female,2008
198,Biscoe,43.6,13.9,217.0,4900.0,female,2008
270,Biscoe,48.8,16.2,222.0,6000.0,male,2009
112,Biscoe,45.6,20.3,191.0,4600.0,male,2009
60,Biscoe,37.6,19.1,194.0,3750.0,male,2008
2,Torgersen,39.5,17.4,186.0,3800.0,female,2007
56,Biscoe,41.4,18.6,191.0,3700.0,male,2008
87,Dream,36.3,19.5,190.0,3800.0,male,2008
213,Biscoe,45.3,13.8,208.0,4200.0,female,2008
40,Dream,39.8,19.1,184.0,4650.0,male,2007
275,Biscoe,45.2,14.8,212.0,5200.0,female,2009
98,Dream,40.3,18.5,196.0,4350.0,male,2008
59,Biscoe,36.5,16.6,181.0,2850.0,female,2008
276,Biscoe,49.9,16.1,213.0,5400.0,male,2009
250,Biscoe,46.9,14.6,222.0,4875.0,female,2009
19,Torgersen,34.4,18.4,184.0,3325.0,female,2007
95,Dream,36.2,17.3,187.0,3300.0,female,2008
285,Dream,46.0,18.9,195.0,4150.0,female,2007
173,Biscoe,50.2,14.3,218.0,5700.0,male,2007
339,Dream,45.7,17.0,195.0,3650.0,female,2009
141,Dream,40.2,17.1,193.0,3400.0,female,2009
332,Dream,52.2,18.8,197.0,3450.0,male,2009
252,Biscoe,51.1,16.5,225.0,5250.0,male,2009
61,Biscoe,35.7,16.9,185.0,3150.0,female,2008
57,Biscoe,39.0,17.5,186.0,3550.0,female,2008
182,Biscoe,50.0,15.3,220.0,5550.0,male,2007
197,Biscoe,50.5,15.9,222.0,5550.0,male,2008
343,Dream,50.8,19.0,210.0,4100.0,male,2009
195,Biscoe,45.3,13.7,210.0,4300.0,female,2008
176,Biscoe,46.3,15.8,215.0,5050.0,male,2007
65,Biscoe,36.4,17.1,184.0,2850.0,female,2008
55,Biscoe,34.5,18.1,187.0,2900.0,female,2008
244,Biscoe,52.2,17.1,228.0,5400.0,male,2009
262,Biscoe,48.1,15.1,209.0,5500.0,male,2009
27,Biscoe,40.6,18.6,183.0,3550.0,male,2007
167,Biscoe,45.8,14.6,210.0,4200.0,female,2007
288,Dream,51.7,20.3,194.0,3775.0,male,2007
199,Biscoe,45.5,13.9,210.0,4200.0,female,2008
305,Dream,46.4,17.8,191.0,3700.0,female,2008
267,Biscoe,46.2,14.1,217.0,4375.0,female,2009
320,Dream,45.5,17.0,196.0,3500.0,female,2008
156,Biscoe,50.0,15.2,218.0,5700.0,male,2007
137,Dream,35.6,17.5,191.0,3175.0,female,2009
158,Biscoe,46.5,13.5,210.0,4550.0,female,2007
106,Biscoe,39.7,18.9,184.0,3550.0,male,2009
94,Dream,39.6,18.1,186.0,4450.0,male,2008
223,Biscoe,47.7,15.0,216.0,4750.0,female,2008
128,Torgersen,41.5,18.3,195.0,4300.0,male,2009
344,Dream,50.2,18.7,198.0,3775.0,female,2009
26,Biscoe,35.3,18.9,187.0,3800.0,female,2007
196,Biscoe,49.6,15.0,216.0,4750.0,male,2008
78,Torgersen,37.2,19.4,184.0,3900.0,male,2008
113,Biscoe,39.7,17.7,193.0,3200.0,female,2009
282,Dream,45.2,17.8,198.0,3950.0,female,2007
109,Biscoe,38.1,17.0,181.0,3175.0,female,2009
